M1450_start M1450_end  z_start    z_end     sel.
 -27.700  -27.600    3.050    3.100   0.0400
 -27.700  -27.600    3.100    3.150   0.0950
 -27.700  -27.600    3.150    3.200   0.2550
 -27.700  -27.600    3.200    3.250   0.3800
 -27.700  -27.600    3.250    3.300   0.6450
 -27.700  -27.600    3.300    3.350   0.8300
 -27.700  -27.600    3.350    3.400   0.9600
 -27.700  -27.600    3.400    3.450   0.9350
 -27.700  -27.600    3.450    3.500   0.9400
 -27.700  -27.600    3.500    3.550   0.9600
 -27.700  -27.600    3.550    3.600   0.9900
 -27.700  -27.600    3.600    3.650   1.0000
 -27.700  -27.600    3.650    3.700   1.0000
 -27.700  -27.600    3.700    3.750   0.9950
 -27.700  -27.600    3.750    3.800   0.9950
 -27.700  -27.600    3.800    3.850   0.9850
 -27.700  -27.600    3.850    3.900   0.9900
 -27.700  -27.600    3.900    3.950   0.9950
 -27.700  -27.600    3.950    4.000   0.9750
 -27.700  -27.600    4.000    4.050   0.9700
 -27.700  -27.600    4.050    4.100   0.9800
 -27.700  -27.600    4.100    4.150   0.9500
 -27.700  -27.600    4.150    4.200   0.9300
 -27.700  -27.600    4.200    4.250   0.8600
 -27.700  -27.600    4.250    4.300   0.8400
 -27.700  -27.600    4.300    4.350   0.8450
 -27.700  -27.600    4.350    4.400   0.8550
 -27.700  -27.600    4.400    4.450   0.9500
 -27.700  -27.600    4.450    4.500   1.0000
 -27.700  -27.600    4.500    4.550   0.9950
 -27.700  -27.600    4.550    4.600   0.9850
 -27.600  -27.500    2.000    2.050   0.0000
 -27.600  -27.500    2.050    2.100   0.0000
 -27.600  -27.500    2.100    2.150   0.0000
 -27.600  -27.500    2.150    2.200   0.0000
 -27.600  -27.500    2.200    2.250   0.0000
 -27.600  -27.500    2.250    2.300   0.0000
 -27.600  -27.500    2.300    2.350   0.0000
 -27.600  -27.500    2.350    2.400   0.0000
 -27.600  -27.500    2.400    2.450   0.0000
 -27.600  -27.500    2.450    2.500   0.0000
 -27.600  -27.500    2.500    2.550   0.0000
 -27.600  -27.500    2.550    2.600   0.0050
 -27.600  -27.500    2.600    2.650   0.0000
 -27.600  -27.500    2.650    2.700   0.0050
 -27.600  -27.500    2.700    2.750   0.0000
 -27.600  -27.500    2.750    2.800   0.0000
 -27.600  -27.500    2.800    2.850   0.0100
 -27.600  -27.500    2.850    2.900   0.0000
 -27.600  -27.500    2.900    2.950   0.0350
 -27.600  -27.500    2.950    3.000   0.1100
 -27.600  -27.500    3.000    3.050   0.1850
 -27.600  -27.500    3.050    3.100   0.3950
 -27.600  -27.500    3.100    3.150   0.5050
 -27.600  -27.500    3.150    3.200   0.6700
 -27.600  -27.500    3.200    3.250   0.8550
 -27.600  -27.500    3.250    3.300   0.9200
 -27.600  -27.500    3.300    3.350   0.9700
 -27.600  -27.500    3.350    3.400   0.9750
 -27.600  -27.500    3.400    3.450   0.9600
 -27.600  -27.500    3.450    3.500   0.9700
 -27.600  -27.500    3.500    3.550   0.9950
 -27.600  -27.500    3.550    3.600   0.9950
 -27.600  -27.500    3.600    3.650   0.9800
 -27.600  -27.500    3.650    3.700   0.9900
 -27.600  -27.500    3.700    3.750   1.0000
 -27.600  -27.500    3.750    3.800   0.9950
 -27.600  -27.500    3.800    3.850   0.9750
 -27.600  -27.500    3.850    3.900   1.0000
